ciclo_form,ano_t1,ano_t2,Ativo_A,Ativo_B,Setor_A,z_media,z_std,z_skew,z_kurt,pval_form
2014-2015,2016,2017,DIRR3,RDNI3,Consumo cíclico,0.10767383037741896,1.1568688058249696,0.2817391178799775,1.1583758180915043,0.007538862242000693
2014-2015,2016,2017,VLID3,WEGE3,Bens industriais,-0.32162857448465015,0.9003682770198935,0.050311422391092236,0.10537460450867764,0.008700132387457832
2014-2015,2016,2017,COCE5,EGIE3,Utilidade pública,0.035528215387360056,0.37487959612704197,-0.7907337968233282,1.335765457493003,0.00963656734277062
2014-2015,2016,2017,AZZA3,CYRE3,Consumo cíclico,0.2580131870407322,0.9710871727564342,0.34377924606328086,2.0188250320291052,0.01239095072091817
2014-2015,2016,2017,CPLE6,TAEE11,Utilidade pública,-0.13091688853490138,0.8833112104729792,-0.8966978595134845,2.701350007314261,0.012670025779359636
2014-2015,2016,2017,BBDC3,MULT3,Financeiro,-0.03626086731810851,0.6335662046826155,-0.25224360594275463,0.46103346777395426,0.01860965507243887
2014-2015,2016,2017,VIVT3,VIVT4,Comunicações,0.012240960156392255,0.7040352400688663,-0.17725542428382918,2.1453782850212786,0.01875704393199128
2014-2015,2016,2017,KLBN11,KLBN4,Materiais básicos,-0.0037729408266537895,1.170782184854391,0.3271876606487454,4.080929107031369,0.019277109464579546
2014-2015,2016,2017,BBDC3,IGTA3,Financeiro,-0.05219076210612762,0.5034504840871004,-0.33426626168626944,1.6310332300819441,0.01980197529981934
2014-2015,2016,2017,CYRE3,RIAA3,Consumo cíclico,-0.06089272406116193,0.8725587560730875,0.30684742210129706,0.7834483391079408,0.019806869006160428
2014-2015,2016,2017,EGIE3,ENBR3,Utilidade pública,0.020181077220801046,0.5651659784518706,-0.14493475323528857,1.2919025673693527,0.02989209085297767
2014-2015,2016,2017,HBOR3,RDNI3,Consumo cíclico,-0.018941415575317665,1.8746591807105644,0.5251915687963271,2.632061951206987,0.032413993743829486
2014-2015,2016,2017,VALE3,VALE5,Materiais básicos,-0.023561329821952,0.6245269104189604,-0.13254892199763163,1.5365403572788514,0.03324912261986769
2014-2015,2016,2017,LINX3,TOTS3,Tecnologia da informação,0.10881043622634487,0.6765848160072232,-0.022344132791670645,-0.20021925381254047,0.046834577049331014
2014-2015,2016,2017,EZTC3,RDNI3,Consumo cíclico,0.22469420513672586,1.0732394340672728,0.0473639948686125,0.19115918695094036,0.047516451853160765
2016-2017,2018,2019,MULT3,SCAR3,Financeiro,0.04287899889020141,0.36002477269321564,0.21536428554381912,-0.5306309204949304,0.00011293281822024204
2016-2017,2018,2019,KEPL3,MOTV3,Bens industriais,0.012595521327260705,0.66030784970648,-0.5440057652526757,3.4816093402222608,0.0002780600126940893
2016-2017,2018,2019,IGTA3,SCAR3,Financeiro,0.045411847446751426,0.41821690197412487,0.27358588846459575,-0.2789918456616345,0.00028758094807622555
2016-2017,2018,2019,CSAN3,CZLT33,Petróleo gás e biocombustíveis,-0.011295123966878666,0.4617450042084924,-0.2627224061634706,0.8210391915749713,0.0020476374859771038
2016-2017,2018,2019,BBDC3,SCAR3,Financeiro,0.051385103865172234,0.4535889228607166,0.03404810167166918,-0.11515506393684838,0.002841868165076518
2016-2017,2018,2019,AESB3,CPLE6,Utilidade pública,-0.06031905947967043,0.7217112051153763,0.3302629785521175,0.1632054325718153,0.007048829998952922
2016-2017,2018,2019,ALPA4,LREN3,Consumo cíclico,0.10901228405452591,0.4596518340491659,0.1250108047127205,0.7614974554503351,0.008647479223595742
2016-2017,2018,2019,CTAX3,VLID3,Bens industriais,-0.720556792917686,1.2159524106355062,-1.0329161746137459,1.536719351115531,0.012895357089004236
2016-2017,2018,2019,ITSA4,SCAR3,Financeiro,0.08331040746465046,0.5294918516490624,0.28767362668829866,0.052688297906826165,0.015391793366572376
2016-2017,2018,2019,ETER3,VLID3,Bens industriais,-0.119534949478122,1.6122641050561872,1.065964894617325,6.101170404047739,0.016972466177952963
2016-2017,2018,2019,ITSA3,ITSA4,Financeiro,0.03185608144647846,0.6943730625656879,-0.21199253039782257,2.835462290107821,0.018016770504515153
2016-2017,2018,2019,FRAS3,POMO3,Bens industriais,-0.04227760737958203,0.6358241112023385,0.6323455572875293,4.014259789238333,0.019063704194915654
2016-2017,2018,2019,BBDC3,MULT3,Financeiro,5.1261107619002274e-05,0.5426648503176823,-0.07589527277925462,0.8332641789547162,0.01977436913095182
2016-2017,2018,2019,BRPR3,PSSA3,Financeiro,0.012852969550376203,0.8492002522432651,-0.4074645425283298,1.089379089477962,0.02016673054281803
2016-2017,2018,2019,ITSA4,ITUB3,Financeiro,0.02860081232430542,0.40760594723929783,-0.11849712656450433,1.5161803285572057,0.02102739393872271
2016-2017,2018,2019,CGAS5,SBSP3,Utilidade pública,0.22313433130344823,1.0297570127459164,0.833753292788451,0.9243174868984987,0.022427887207474823
2016-2017,2018,2019,ENGI11,EQTL3,Utilidade pública,0.11716713770824357,0.5793212160210491,0.5970358343299479,0.85479947582105,0.030809305606794825
2016-2017,2018,2019,CPFE3,EQTL3,Utilidade pública,-0.09654140408566565,1.1944862684808835,-5.368355311539301,49.965449865117506,0.03092238051456549
2016-2017,2018,2019,CMIG4,CPLE3,Utilidade pública,-0.11917303103241289,0.9883506291204631,0.08038981513234336,0.49908325991832303,0.031612928225825176
2018-2019,2020,2021,CPFE3,CSMG3,Utilidade pública,0.04254443473689374,0.8463858596834334,-0.10625036966493491,1.6242043418152505,0.00017434862975011507
2018-2019,2020,2021,BRSR6,SANB4,Financeiro,-0.13696401981599196,0.6556441556944527,-0.42954764535904527,3.286229032393191,0.00038159283149718484
2018-2019,2020,2021,AXIA3,AXIA6,Utilidade pública,0.002934293824698176,0.47075650024561655,-1.2910733048195473,12.899110532032646,0.0008188033989283219
2018-2019,2020,2021,CSMG3,EGIE3,Utilidade pública,-0.056147050339529554,0.8696070113207414,-0.8941585659991463,8.325573753550936,0.0014360004920561137
2018-2019,2020,2021,COGN3,SMLS3,Consumo cíclico,-0.18891022695615628,1.1369362886388692,0.15733187931136833,1.0833754798538004,0.0027116610553399546
